"CountyTown","Y104M12","Y105M06","Y105M12","Y106M06","Y106M12","Y104M12_status","Y105M06_status","Y105M12_status","Y106M06_status","Y106M12_status"
"高雄市阿蓮區",13.2,13.55,13.89,14.25,14.55,"高齡化","高齡化","高齡化","高齡","高齡"
"高雄市大寮區",11.33,11.64,12.04,12.38,12.74,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市大社區",11.4,11.75,12.23,12.57,12.9,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市大樹區",14.58,14.93,15.26,15.64,15.91,"高齡","高齡","高齡","高齡","高齡"
"高雄市鳳山區",10.75,11.17,11.63,12.06,12.48,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市岡山區",12.08,12.42,12.82,13.09,13.48,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市鼓山區",12.08,12.41,12.84,13.21,13.54,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市湖內區",13.32,13.52,13.79,14.08,14.4,"高齡化","高齡化","高齡化","高齡","高齡"
"高雄市茄萣區",14.61,15.06,15.38,15.75,15.95,"高齡","高齡","高齡","高齡","高齡"
"高雄市甲仙區",18.2,18.68,18.91,19.18,19.81,"高齡","高齡","高齡","高齡","高齡"
"高雄市林園區",11.18,11.55,11.91,12.32,12.69,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市苓雅區",15.81,16.39,17.07,17.58,18.21,"高齡","高齡","高齡","高齡","高齡"
"高雄市六龜區",19.52,19.92,20.31,20.73,20.93,"高齡","高齡","超高齡","超高齡","超高齡"
"高雄市路竹區",13.25,13.55,13.89,14.22,14.56,"高齡化","高齡化","高齡化","高齡","高齡"
"高雄市茂林區",8.41,8.37,8.6,8.42,8.47,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市美濃區",22.86,23.16,23.54,23.76,24.18,"超高齡","超高齡","超高齡","超高齡","超高齡"
"高雄市彌陀區",13.97,14.2,14.58,14.92,15.33,"高齡化","高齡","高齡","高齡","高齡"
"高雄市那瑪夏區",6.13,6.4,6.48,6.86,7.01,"未達高齡化","未達高齡化","未達高齡化","未達高齡化","高齡化"
"高雄市楠梓區",10.08,10.4,10.76,10.99,11.27,"高齡化","高齡化","高齡化","高齡化","高齡化"
"高雄市內門區",19.82,20.07,20.5,20.84,21.17,"高齡","超高齡","超高齡","超高齡","超高齡"
"高雄市鳥松區",12.49,13.05,13.66,14.2,14.74,"高齡化","高齡化","高齡化","高齡","高齡"
"高雄市旗津區",13.45,13.79,14.14,14.52,14.75,"高齡化","高齡化","高齡","高齡","高齡"
"高雄市旗山區",18.96,19.23,19.77,20.12,20.36,"高齡","高齡","高齡","超高齡","超高齡"
